FIPS,Alcohol Mortality Rate,Alcohol Mortality Rate(F),Alcohol Mortality Rate(M),Drug Mortality Rate,Drug Mortality Rate(F),Drug Mortality Rate(M),Self-harm Mortality Rate,Self-harm Mortality Rate(F),Self-harm Mortality Rate(M),Int. Violence Mortality Rate,Int. Violence Mortality Rate(F),Int. Violence Mortality Rate(M)
,2.85,2.68,3.0,10.37,9.7,10.86,13.86,13.35,14.35,5.74,5.53,5.99
1.0,2.28,2.07,2.49,11.87,11.04,12.62,16.72,16.0,17.45,9.8,9.3,10.33
1001.0,1.45,0.9,2.11,7.32,5.17,9.6,18.19,16.68,19.79,6.31,4.44,8.38
1003.0,2.53,1.88,3.36,13.3,11.24,15.58,18.51,17.34,19.78,5.27,4.09,6.76
1005.0,2.72,1.89,3.57,5.4,3.35,8.04,16.2,14.3,18.17,10.6,7.95,13.56
1007.0,1.22,0.7,1.92,13.03,9.76,17.08,19.95,17.78,22.13,9.11,6.45,12.53
1009.0,1.31,0.77,2.03,14.38,11.55,17.45,19.09,17.42,20.78,6.9,5.09,9.06
1011.0,3.05,2.09,4.18,5.63,2.97,9.63,12.01,9.85,14.13,12.0,8.64,16.05
1013.0,1.61,1.07,2.28,6.45,3.99,9.53,17.81,15.06,20.6,16.85,12.59,21.08
1015.0,1.5,1.02,2.09,11.51,9.31,14.22,20.16,18.31,21.97,11.61,9.4,14.36
1017.0,2.35,1.63,3.21,8.65,5.95,11.83,16.69,14.59,18.79,11.04,8.33,14.15
1019.0,1.33,0.82,1.98,11.15,8.1,14.76,25.9,23.52,28.27,5.75,3.88,7.93
1021.0,1.15,0.68,1.79,12.96,10.08,16.18,20.21,18.44,21.99,7.2,5.07,9.59
1023.0,2.15,1.39,3.0,6.68,4.07,10.35,13.05,11.21,15.13,10.0,7.07,13.55
1025.0,2.38,1.69,3.16,5.97,3.76,8.83,14.42,12.71,16.3,8.64,6.35,11.45
1027.0,1.95,1.23,2.82,7.5,4.44,11.74,18.45,16.47,20.46,6.26,3.9,9.23
1029.0,1.51,0.92,2.26,11.37,8.07,15.18,26.27,23.36,29.25,9.64,6.66,13.39
1031.0,1.43,0.95,1.96,5.83,4.0,7.9,14.89,13.6,16.24,4.84,3.41,6.49
1033.0,1.69,1.13,2.48,8.31,6.25,10.97,21.26,19.26,23.24,8.28,6.13,10.75
1035.0,3.13,1.9,4.49,10.51,6.52,15.44,21.7,18.29,25.16,14.99,10.64,19.78
1037.0,3.01,1.97,4.21,10.27,6.39,14.67,20.1,17.8,22.65,9.47,6.45,13.16
1039.0,2.25,1.61,3.01,7.12,5.01,9.84,18.7,17.16,20.4,6.21,4.59,8.24
1041.0,3.72,2.6,4.98,7.56,4.4,11.88,17.5,15.14,19.68,11.33,7.93,15.16
1043.0,1.37,0.87,2.0,14.49,11.88,17.44,19.31,17.89,20.77,4.49,3.2,6.07
1045.0,1.81,1.22,2.46,7.8,5.68,10.07,14.68,13.35,16.01,6.38,4.61,8.56
1047.0,2.49,1.76,3.32,6.84,4.72,9.48,13.88,11.48,16.25,23.62,19.59,27.43
1049.0,1.75,1.18,2.44,10.77,8.35,13.41,18.67,17.32,19.99,5.76,4.22,7.46
1051.0,1.15,0.77,1.62,6.19,4.63,8.02,16.73,15.21,18.16,7.11,5.44,9.07
1053.0,4.4,3.32,5.68,11.19,7.87,15.05,22.63,20.41,24.92,10.75,7.91,13.71
1055.0,1.49,1.0,2.12,14.28,11.76,17.3,20.03,18.52,21.61,9.02,7.01,11.36
1057.0,2.39,1.35,3.53,16.47,11.85,21.99,22.49,20.14,24.81,7.11,4.52,10.25
