State,Area_Name,HH_income_2010,HH_income_2011,HH_income_2012,HH_income_2013,HH_income_2014,HH_income_2015,HH_income_2016,HH_income_2017
AL,Tallapoosa County,"34,440","37,686","36,463","37,747","36,779","39,051","40,169","44,469"
AL,Tuscaloosa County,"43,098","42,086","41,495","45,959","46,892","47,868","47,483","51,644"
AL,Walker County,"36,044","35,423","36,600","37,193","37,245","37,305","39,511","41,925"
AL,Washington County,"37,639","39,203","39,173","41,115","41,321","42,658","37,575","44,249"
AL,Wilcox County,"21,611","20,990","22,126","23,184","24,035","23,014","24,216","25,700"
AL,Winston County,"32,574","31,018","32,663","33,578","35,528","36,497","38,644","38,562"
AK,Alaska,"63,456","65,699","66,503","70,058","70,898","73,391","76,144","74,058"
AK,Aleutians East Borough,"47,077","51,289","51,514","56,856","55,462","57,015","63,991","69,375"
AK,Aleutians West Census Area,"58,517","59,362","69,192","74,088","68,387","80,695","78,151","80,290"
AK,Anchorage Borough,"70,524","71,237","71,094","76,362","75,200","77,791","83,959","78,579"
AK,Bethel Census Area,"45,481","43,314","41,722","42,876","45,808","44,849","46,634","45,582"
AK,Bristol Bay Borough,"62,912","61,905","66,178","65,283","75,364","66,373","68,026","70,094"
AK,Denali Borough,"61,004","68,899","66,325","68,103","69,692","73,000","72,378","73,220"
AK,Dillingham Census Area,"46,845","46,427","47,498","47,930","51,082","50,753","52,250","52,641"
AK,Fairbanks North Star Borough,"60,472","64,396","63,979","67,204","67,801","70,881","73,427","74,241"
AK,Haines Borough,"46,111","51,350","49,890","55,295","67,260","57,876","53,471","53,413"
AK,Hoonah-Angoon Census Area,"38,122","40,896","40,371","42,276","51,687","53,726","53,884","50,573"
AK,Juneau Borough,"69,844","74,219","76,967","83,642","80,835","82,892","82,011","90,436"
AK,Kenai Peninsula Borough,"57,347","60,360","60,431","61,629","62,532","62,025","68,501","63,559"
AK,Ketchikan Gateway Borough,"58,073","59,092","61,296","62,619","57,776","65,314","67,125","71,298"
AK,Kodiak Island Borough,"59,847","66,935","61,498","64,782","67,972","67,515","74,683","71,118"
AK,Lake and Peninsula Borough,"39,794","47,612","44,657","43,936","45,570","42,120","44,310","47,644"
AK,Matanuska-Susitna Borough,"68,670","68,999","68,109","72,371","73,981","76,601","71,793","72,296"
AK,Nome Census Area,"43,147","44,766","47,022","46,471","47,160","52,952","55,974","53,877"
AK,North Slope Borough,"68,744","73,744","69,138","74,174","75,682","70,834","74,998","82,736"
AK,Northwest Arctic Borough,"49,466","54,680","52,945","54,600","65,192","53,774","53,692","53,060"
AK,Prince of Wales-Hyder Census Area,"40,756","42,649","44,721","48,175","43,245","45,305","48,888","46,488"
AK,Sitka Borough,"58,000","61,956","61,771","66,038","65,765","68,472","72,795","69,501"
AK,Skagway Municipality,"58,550","61,025","65,379","63,930","69,170","65,878","65,112","66,991"
AK,Southeast Fairbanks Census Area,"54,508","55,617","56,456","54,922","59,641","60,203","59,412","59,382"
AK,Valdez-Cordova Census Area,"60,297","63,887","65,098","63,541","73,998","70,101","69,755","86,196"
AK,Wrangell City and Borough,"42,752","43,120","47,373","49,039","52,201","54,500","56,747","55,696"
AK,Yakutat Borough,"49,331","47,575","47,565","56,365","52,595","53,795","57,687","59,955"
AK,Yukon-Koyukuk Census Area,"35,177","33,578","33,998","35,114","36,708","37,755","37,906","37,907"
AZ,Arizona,"46,787","46,710","47,796","48,504","50,036","51,473","53,481","56,508"
AZ,Apache County,"30,651","30,837","32,886","30,252","32,366","31,072","34,040","33,053"
AZ,Cochise County,"43,677","41,237","43,017","45,294","45,025","43,451","45,151","48,966"
AZ,Coconino County,"43,051","45,051","45,509","48,732","48,653","51,955","53,643","54,399"
AZ,Gila County,"37,430","35,898","38,267","39,868","37,677","41,346","40,747","38,897"
AZ,Graham County,"39,299","40,548","41,080","43,497","46,046","44,169","46,714","46,378"
AZ,Greenlee County,"49,592","51,145","53,312","54,673","59,416","58,854","61,110","63,557"
AZ,La Paz County,"33,818","30,679","35,236","33,994","32,533","34,835","34,285","36,389"
AZ,Maricopa County,"50,424","50,785","51,442","52,066","53,929","56,017","58,742","62,221"
AZ,Mohave County,"36,446","35,998","34,966","38,560","37,704","40,360","42,003","42,210"
