State,Area_Name,HH_income_2010,HH_income_2011,HH_income_2012,HH_income_2013,HH_income_2014,HH_income_2015,HH_income_2016,HH_income_2017
FL,Madison County,"31,942","31,578","31,469","30,391","33,017","34,360","33,721","37,256"
FL,Manatee County,"44,990","43,494","46,999","48,066","51,673","50,728","51,770","55,189"
FL,Marion County,"37,162","36,425","37,287","38,783","39,860","40,053","39,629","43,772"
FL,Martin County,"49,539","50,417","47,120","51,159","55,472","53,459","55,917","58,344"
FL,Miami-Dade County,"40,145","40,476","41,311","41,840","42,754","43,687","45,886","49,758"
FL,Monroe County,"50,388","51,152","52,152","50,380","57,411","58,332","63,892","63,009"
FL,Nassau County,"57,605","54,706","55,367","56,987","56,728","55,707","67,967","70,590"
FL,Okaloosa County,"51,173","49,643","52,381","54,265","55,952","55,391","58,009","60,798"
FL,Okeechobee County,"35,417","33,806","34,742","35,954","37,065","35,787","37,689","42,524"
FL,Orange County,"45,105","44,635","45,565","46,675","47,069","50,593","51,312","54,021"
FL,Osceola County,"42,165","40,933","42,743","41,592","42,945","45,127","50,716","49,284"
FL,Palm Beach County,"49,891","48,973","51,217","51,768","52,225","56,638","57,607","60,059"
FL,Pasco County,"42,184","40,859","42,695","45,454","45,219","46,080","46,326","51,247"
FL,Pinellas County,"42,628","42,761","44,819","43,773","45,162","47,591","49,974","51,488"
FL,Polk County,"41,184","40,258","41,337","42,447","42,768","44,024","46,289","48,328"
FL,Putnam County,"33,300","31,150","33,593","32,852","32,054","32,351","37,526","34,390"
FL,St. Johns County,"60,841","63,299","62,112","66,312","66,560","71,896","78,544","77,022"
FL,St. Lucie County,"39,378","41,384","41,934","42,825","42,722","45,918","45,509","49,995"
FL,Santa Rosa County,"51,208","53,155","59,854","54,876","58,587","59,289","62,668","65,434"
FL,Sarasota County,"46,047","47,457","48,239","48,717","52,109","55,882","55,088","58,423"
FL,Seminole County,"57,381","54,449","54,901","55,195","56,443","57,357","61,253","63,865"
FL,Sumter County,"45,165","44,595","47,017","52,670","51,907","54,592","56,568","57,931"
FL,Suwannee County,"39,259","34,947","34,434","35,666","38,177","37,368","40,572","44,144"
FL,Taylor County,"35,343","33,863","36,257","38,370","36,374","39,116","40,180","41,557"
FL,Union County,"40,523","40,743","39,486","40,841","40,207","41,078","43,795","47,373"
FL,Volusia County,"41,368","38,477","40,114","40,908","40,881","42,334","45,356","46,911"
FL,Wakulla County,"47,566","50,716","46,773","47,430","51,642","48,703","56,158","55,717"
FL,Walton County,"44,622","44,763","40,239","45,357","46,867","47,875","54,686","52,922"
FL,Washington County,"35,378","35,004","36,560","35,671","36,482","36,328","34,787","36,052"
GA,Georgia,"46,252","45,886","47,125","47,765","49,240","51,225","53,468","56,117"
GA,Appling County,"36,601","35,164","35,757","36,915","36,642","39,588","37,954","40,862"
GA,Atkinson County,"28,579","28,693","28,693","30,883","31,740","32,398","33,318","34,821"
GA,Bacon County,"31,692","31,301","32,460","33,781","34,201","35,431","36,873","38,417"
GA,Baker County,"33,950","33,347","30,042","37,135","43,115","34,455","35,452","37,286"
GA,Baldwin County,"36,091","34,304","35,412","35,815","37,008","38,015","40,683","40,358"
GA,Banks County,"42,196","42,673","43,102","42,495","46,018","44,146","43,370","49,481"
GA,Barrow County,"52,391","50,996","49,608","54,668","49,698","53,789","54,893","60,028"
GA,Bartow County,"43,825","45,072","46,693","46,330","51,440","50,900","52,497","55,067"
GA,Ben Hill County,"29,910","29,425","29,155","30,090","31,081","30,776","32,644","32,370"
GA,Berrien County,"32,859","33,417","32,955","37,903","35,078","35,518","39,174","38,239"
GA,Bibb County,"36,220","35,125","36,198","36,816","36,014","38,870","38,115","39,047"
GA,Bleckley County,"38,513","39,461","40,922","40,369","40,454","42,716","41,447","44,262"
GA,Brantley County,"35,732","36,300","36,303","36,758","36,865","37,709","37,675","40,906"
GA,Brooks County,"32,067","29,282","32,176","34,367","32,903","36,820","33,676","36,030"
GA,Bryan County,"65,478","63,092","61,561","66,066","66,556","69,650","77,244","73,877"
GA,Bulloch County,"31,943","33,192","35,078","36,484","36,315","36,544","42,083","42,068"
GA,Burke County,"30,688","31,188","32,324","32,675","35,055","36,977","37,410","41,863"
GA,Butts County,"43,777","40,330","42,815","43,330","41,505","44,166","46,141","46,062"
GA,Calhoun County,"28,618","27,860","28,818","30,727","30,760","30,972","33,478","33,889"
GA,Camden County,"48,967","50,207","51,638","49,098","51,793","52,706","53,130","53,582"
GA,Candler County,"30,496","28,263","31,703","31,427","31,829","32,806","32,970","33,846"
GA,Carroll County,"45,242","43,237","43,636","45,493","43,442","45,453","50,598","51,388"
GA,Catoosa County,"47,337","47,111","46,600","50,847","50,728","50,979","53,740","53,833"
GA,Charlton County,"32,316","31,582","32,626","35,165","34,312","37,037","38,948","40,636"
GA,Chatham County,"42,728","42,383","42,694","45,254","50,154","48,885","52,746","54,667"
GA,Chattahoochee County,"46,292","41,476","43,020","46,893","45,933","41,066","44,097","44,439"
GA,Chattooga County,"33,990","33,350","34,976","34,440","34,830","38,063","37,345","39,325"
GA,Cherokee County,"63,520","65,769","68,800","67,686","71,168","74,885","78,668","78,247"
GA,Clarke County,"34,000","30,880","32,720","32,864","31,487","33,302","36,692","39,901"
GA,Clay County,"27,080","26,420","26,957","27,102","27,512","25,941","27,648","29,122"
GA,Clayton County,"36,595","37,706","37,594","40,606","42,985","41,731","44,598","44,757"
GA,Clinch County,"30,428","30,237","31,347","30,094","31,577","31,848","34,777","37,174"
GA,Cobb County,"59,471","57,995","62,596","62,866","66,970","70,097","70,950","75,485"
GA,Coffee County,"33,527","32,351","32,646","33,615","33,125","34,775","38,704","39,408"
GA,Colquitt County,"32,010","30,669","32,692","33,095","33,509","34,151","34,931","36,651"
GA,Columbia County,"64,435","62,717","69,582","72,531","68,067","75,232","74,908","75,832"
GA,Cook County,"32,244","32,812","32,107","32,327","32,408","34,505","35,518","36,463"
GA,Coweta County,"56,407","56,878","61,153","61,469","60,809","67,268","71,114","73,296"
GA,Crawford County,"41,593","41,855","42,409","43,392","43,111","43,559","44,014","47,422"
GA,Crisp County,"35,232","29,134","29,175","30,481","31,176","31,095","34,211","34,754"
GA,Dade County,"40,161","41,233","40,984","43,446","42,953","43,632","36,213","45,053"
GA,Dawson County,"51,127","53,339","54,503","52,804","57,491","60,195","61,229","64,930"
GA,Decatur County,"33,288","31,054","30,331","34,102","33,968","37,661","36,136","37,835"
GA,DeKalb County,"47,068","48,293","49,061","49,894","50,597","53,994","56,053","61,496"
GA,Dodge County,"33,731","31,696","32,926","33,893","32,293","34,611","35,779","36,067"
GA,Dooly County,"32,216","29,970","30,371","31,620","31,103","32,323","40,591","35,781"
GA,Dougherty County,"31,200","30,186","31,065","31,575","32,150","34,799","35,750","36,994"
GA,Douglas County,"52,887","50,501","51,540","51,941","54,581","58,443","59,665","60,177"
GA,Early County,"30,572","31,345","30,953","32,357","34,906","31,935","26,934","32,490"
GA,Echols County,"32,674","32,543","32,664","34,809","34,444","34,414","35,892","36,559"
GA,Effingham County,"60,017","59,502","62,568","61,062","61,195","63,255","63,776","68,109"
GA,Elbert County,"32,888","33,068","33,081","34,487","35,351","35,814","37,131","35,452"
GA,Emanuel County,"30,985","30,459","28,254","30,348","30,119","31,772","32,495","33,551"
GA,Evans County,"32,427","30,858","31,683","32,838","33,293","34,085","34,689","34,464"
GA,Fannin County,"33,253","34,775","35,474","35,673","37,813","39,796","41,487","42,986"
GA,Fayette County,"79,276","74,476","78,717","81,368","79,069","80,588","83,145","87,831"
GA,Floyd County,"38,289","40,159","38,523","39,381","41,814","41,130","46,634","45,979"
GA,Forsyth County,"81,629","85,137","87,380","87,565","86,413","97,886","101,804","103,083"
GA,Franklin County,"36,109","31,042","35,150","40,114","38,055","40,156","41,543","42,703"
GA,Fulton County,"53,580","54,893","55,816","55,474","55,516","59,911","62,824","64,901"
GA,Gilmer County,"39,710","36,359","39,637","39,323","40,010","43,907","46,332","46,200"
GA,Glascock County,"36,433","35,247","35,637","37,955","39,643","40,732","41,412","43,529"
GA,Glynn County,"42,993","44,238","43,782","43,533","46,737","46,377","48,691","50,740"
GA,Gordon County,"40,656","42,253","41,141","42,291","43,880","44,580","45,705","46,868"
GA,Grady County,"31,297","33,368","32,860","35,212","35,237","36,486","40,234","41,095"
GA,Greene County,"36,001","39,209","43,406","42,842","42,823","43,326","47,194","50,736"
GA,Gwinnett County,"57,848","56,944","56,665","59,081","59,858","61,797","67,197","68,957"
GA,Habersham County,"40,316","39,879","41,343","40,530","40,994","44,400","46,828","49,292"
GA,Hall County,"47,238","49,324","49,636","46,986","52,238","54,578","55,308","61,320"
GA,Hancock County,"23,887","26,107","25,416","26,281","26,309","28,328","30,616","31,247"
GA,Haralson County,"39,046","37,495","39,407","39,548","40,387","41,167","43,196","45,167"
GA,Harris County,"62,264","64,048","63,806","60,977","66,249","65,887","70,724","72,811"
GA,Hart County,"33,753","36,327","36,483","40,225","38,564","39,567","41,247","44,603"
GA,Heard County,"39,614","35,765","39,756","40,123","41,348","41,514","41,994","44,575"
GA,Henry County,"59,371","58,130","57,848","60,087","60,388","65,437","67,150","67,493"
GA,Houston County,"54,977","51,851","54,307","52,297","53,027","55,860","61,795","59,291"
GA,Irwin County,"32,859","33,602","32,965","35,854","35,955","35,284","35,866","38,511"
GA,Jackson County,"50,409","49,400","50,403","52,385","51,931","56,102","55,426","63,422"
GA,Jasper County,"43,443","43,618","41,842","42,343","41,818","46,398","48,473","50,234"
GA,Jeff Davis County,"32,380","32,248","32,867","34,481","35,235","36,186","35,538","36,786"
GA,Jefferson County,"29,683","27,703","29,316","29,152","30,835","32,023","33,680","35,201"
GA,Jenkins County,"27,682","25,807","29,525","28,445","30,678","29,924","30,611","32,472"
GA,Johnson County,"28,332","28,585","28,995","29,565","29,818","30,794","32,201","35,243"
GA,Jones County,"52,215","48,792","51,941","51,650","51,749","52,777","54,155","56,039"
GA,Lamar County,"40,001","40,769","38,892","40,915","40,339","42,177","44,575","41,060"
GA,Lanier County,"33,430","33,929","33,481","35,101","37,113","37,616","35,690","39,165"
GA,Laurens County,"36,568","34,865","34,910","33,974","35,807","36,960","39,037","38,078"
GA,Lee County,"61,489","60,652","63,338","63,272","64,533","68,636","62,972","68,891"
GA,Liberty County,"39,697","40,659","41,922","40,175","41,682","39,612","44,154","45,655"
GA,Lincoln County,"35,201","35,183","36,396","35,683","39,484","39,089","41,494","44,819"
GA,Long County,"38,243","35,244","39,176","41,147","43,193","42,542","44,542","48,328"
GA,Lowndes County,"36,486","34,252","36,920","37,138","38,887","37,699","41,331","42,019"
GA,Lumpkin County,"44,309","44,422","44,289","42,919","44,653","48,101","47,287","55,453"
GA,McDuffie County,"36,559","36,907","36,331","37,328","37,413","36,346","39,642","40,814"
GA,McIntosh County,"35,681","34,787","37,040","36,346","37,603","38,770","40,788","40,832"
GA,Macon County,"27,324","27,934","28,654","28,844","29,430","30,696","31,358","32,974"
GA,Madison County,"41,267","40,123","40,209","43,611","45,557","40,735","47,151","47,956"
GA,Marion County,"33,534","34,189","33,633","34,680","36,055","35,265","38,734","39,408"
GA,Meriwether County,"35,287","34,589","35,312","34,962","37,243","37,866","34,508","38,442"
GA,Miller County,"32,015","33,063","32,262","32,535","35,276","35,357","42,771","37,878"
GA,Mitchell County,"31,094","31,088","30,020","32,280","32,711","34,139","33,490","36,234"
GA,Monroe County,"49,839","51,747","50,594","54,793","53,542","53,070","55,626","57,038"
GA,Montgomery County,"35,133","34,379","33,983","37,128","36,436","36,821","39,074","41,858"
GA,Morgan County,"45,804","46,176","46,445","48,337","50,295","51,081","55,347","55,251"
GA,Murray County,"39,911","36,230","35,918","40,343","40,976","43,142","43,203","45,975"
GA,Muscogee County,"36,359","37,564","43,264","40,414","41,783","41,828","40,895","42,610"
GA,Newton County,"48,989","44,089","48,780","50,862","48,058","51,177","51,167","55,632"
GA,Oconee County,"76,298","71,707","75,532","72,478","80,631","76,371","88,570","92,216"
GA,Oglethorpe County,"40,936","44,066","42,992","44,026","46,840","43,428","45,319","44,718"
GA,Paulding County,"61,496","59,185","59,621","60,008","63,964","62,658","65,480","67,906"
GA,Peach County,"38,024","39,838","39,726","42,602","40,550","41,725","44,330","46,608"
GA,Pickens County,"48,532","50,282","50,131","53,332","51,047","56,289","57,637","61,145"
GA,Pierce County,"37,262","38,290","38,777","36,214","40,526","39,648","42,908","42,140"
GA,Pike County,"52,411","54,457","51,781","52,393","50,395","56,233","56,901","62,250"
GA,Polk County,"36,468","36,326","37,815","38,730","38,847","39,402","42,470","43,488"
GA,Pulaski County,"36,665","34,820","35,847","37,012","36,128","39,209","36,611","39,743"
GA,Putnam County,"40,037","40,168","40,644","42,934","42,125","44,323","44,785","47,710"
GA,Quitman County,"28,102","28,621","28,675","29,111","29,477","29,921","30,483","31,151"
GA,Rabun County,"37,990","34,394","37,684","38,114","38,449","40,834","41,913","43,042"
GA,Randolph County,"26,863","27,950","28,497","28,105","25,807","30,505","31,662","30,847"
GA,Richmond County,"37,866","37,352","36,490","36,069","36,012","40,821","41,128","38,297"
GA,Rockdale County,"53,899","51,106","50,699","50,646","48,287","51,510","56,689","59,341"
GA,Schley County,"37,761","37,669","39,105","38,944","39,601","41,737","43,396","43,568"
GA,Screven County,"30,925","32,990","33,508","35,087","34,012","35,911","36,414","38,870"
GA,Seminole County,"30,604","30,489","31,785","34,814","37,672","31,615","34,986","35,527"
GA,Spalding County,"38,451","38,914","35,761","39,068","35,555","41,250","43,065","45,121"
GA,Stephens County,"34,445","37,536","34,384","36,318","36,870","38,503","37,920","40,483"
GA,Stewart County,"26,659","26,010","27,009","28,304","27,635","28,977","24,945","31,800"
GA,Sumter County,"31,871","31,937","32,590","32,474","34,017","33,802","35,764","36,611"
GA,Talbot County,"29,933","31,290","30,909","33,168","33,370","33,510","36,482","36,269"
GA,Taliaferro County,"26,863","25,807","27,124","28,917","28,716","28,952","30,133","30,586"
GA,Tattnall County,"35,039","31,531","37,818","35,983","34,010","37,163","35,567","38,672"
GA,Taylor County,"30,748","30,308","30,266","30,538","32,815","32,041","31,637","35,608"
GA,Telfair County,"28,414","27,831","27,655","28,334","29,244","31,149","32,327","31,354"
GA,Terrell County,"31,143","30,552","31,095","31,826","34,604","32,342","34,018","33,939"
GA,Thomas County,"35,539","34,611","35,909","38,914","36,973","40,449","40,199","43,257"
GA,Tift County,"34,702","33,669","33,716","33,902","36,303","39,988","39,982","41,544"
GA,Toombs County,"32,002","32,915","31,820","32,311","34,008","34,953","36,765","35,226"
GA,Towns County,"38,207","36,858","37,826","39,854","39,453","39,782","42,439","44,055"
GA,Treutlen County,"30,809","30,131","32,063","31,917","32,536","32,086","32,100","34,473"
GA,Troup County,"39,422","39,370","38,598","42,044","41,141","41,289","42,955","43,112"
GA,Turner County,"26,845","25,480","26,408","31,817","32,171","35,117","31,969","33,310"
GA,Twiggs County,"35,232","34,528","36,549","36,107","36,886","36,086","38,507","39,639"
GA,Union County,"37,540","39,206","38,334","39,677","40,667","42,782","47,948","46,097"
GA,Upson County,"33,461","33,483","34,395","34,709","34,867","37,864","34,039","39,780"
GA,Walker County,"36,854","37,813","36,628","40,512","39,078","42,249","40,814","44,176"
GA,Walton County,"51,913","52,747","52,737","54,294","52,082","57,312","55,267","58,028"
GA,Ware County,"33,176","31,529","33,017","32,211","34,288","35,270","34,643","38,412"
GA,Warren County,"29,764","30,946","30,063","30,967","31,623","32,350","36,789","34,680"
GA,Washington County,"33,199","34,117","33,068","36,807","36,137","36,499","35,542","37,464"
GA,Wayne County,"36,562","37,082","37,957","38,081","41,093","41,466","42,017","45,814"
GA,Webster County,"31,216","32,842","32,789","34,374","33,893","35,770","36,329","39,266"
GA,Wheeler County,"29,834","29,780","27,514","30,779","30,264","30,926","29,532","31,001"
GA,White County,"40,120","39,753","41,283","41,337","42,126","43,598","44,980","50,194"
GA,Whitfield County,"40,117","38,452","39,860","39,946","43,731","45,921","46,796","42,568"
GA,Wilcox County,"31,442","30,500","31,241","33,308","32,722","32,480","33,858","35,015"
GA,Wilkes County,"30,451","30,720","31,957","33,662","32,042","34,031","33,735","34,897"
GA,Wilkinson County,"35,530","38,570","36,219","35,745","34,512","38,103","47,309","40,906"
GA,Worth County,"37,436","35,308","35,815","36,616","40,382","39,560","40,122","42,913"
HI,Hawaii,"62,774","62,071","66,086","67,798","69,549","73,097","74,659","77,936"
HI,Hawaii County,"46,444","46,186","49,048","47,377","51,887","54,914","54,684","56,540"
HI,Honolulu County,"67,519","65,489","70,779","72,649","73,985","76,544","80,012","80,947"
HI,Kalawao County,.,.,.,.,.,.,.,.
HI,Kauai County,"52,714","56,937","55,614","55,844","58,883","70,122","63,164","74,881"
HI,Maui County,"56,206","57,789","59,281","62,277","64,916","68,684","69,699","76,376"
ID,Idaho,"43,259","43,345","45,296","46,621","47,572","48,311","51,647","52,280"
ID,Ada County,"50,909","50,701","54,337","53,420","57,908","58,431","61,571","61,469"
ID,Adams County,"34,730","32,752","34,207","37,630","40,777","39,943","42,310","43,442"
ID,Bannock County,"40,946","41,749","42,993","42,665","44,324","43,298","48,453","51,093"
ID,Bear Lake County,"39,469","42,327","42,134","45,589","45,504","48,309","45,875","51,343"
ID,Benewah County,"36,906","39,327","40,069","39,530","46,277","41,368","45,285","43,570"
ID,Bingham County,"43,571","45,354","46,816","47,721","47,292","49,644","51,586","52,697"
ID,Blaine County,"59,191","60,448","59,910","67,936","63,490","65,272","66,210","68,101"
ID,Boise County,"46,871","48,657","48,986","48,974","50,874","52,728","50,123","56,067"
ID,Bonner County,"40,119","41,255","39,720","41,797","45,193","44,072","48,097","47,537"
ID,Bonneville County,"49,979","49,748","50,347","50,559","51,440","54,008","59,293","55,744"
ID,Boundary County,"37,037","33,655","38,257","39,681","42,720","41,803","42,725","43,835"
ID,Butte County,"41,368","41,026","43,611","41,739","42,907","43,780","41,706","45,226"
ID,Camas County,"46,483","45,439","48,621","47,911","49,569","46,203","49,153","51,045"
ID,Canyon County,"42,419","39,132","41,700","42,237","43,489","44,585","48,461","47,915"
ID,Caribou County,"49,208","49,665","55,010","54,579","55,770","57,017","55,152","58,739"
ID,Cassia County,"40,739","41,393","42,155","44,160","45,078","47,932","48,983","51,323"
ID,Clark County,"41,387","40,581","44,997","42,940","45,979","40,098","42,050","42,226"
ID,Clearwater County,"38,124","38,086","38,980","40,068","41,304","42,630","43,626","46,214"
ID,Custer County,"42,575","44,234","44,309","41,522","42,704","45,801","45,591","44,100"
ID,Elmore County,"40,475","43,120","42,391","42,680","45,049","44,509","45,003","45,708"
ID,Franklin County,"43,936","46,348","46,607","44,790","50,545","53,901","54,427","55,056"
ID,Fremont County,"38,407","41,411","41,629","44,130","45,578","49,555","46,465","48,581"
ID,Gem County,"40,110","40,541","40,399","44,173","41,688","44,017","42,027","47,481"
ID,Gooding County,"37,751","39,670","39,809","41,310","44,669","48,950","46,948","46,218"
ID,Idaho County,"35,715","39,184","36,365","39,434","39,551","41,157","42,049","42,503"
ID,Jefferson County,"50,123","47,827","50,080","52,950","52,428","53,555","61,156","59,869"
ID,Jerome County,"40,229","39,454","43,384","41,595","46,513","47,034","48,590","50,728"
ID,Kootenai County,"43,826","47,026","46,886","51,681","49,061","48,864","52,019","56,921"
ID,Latah County,"40,942","42,350","40,873","43,699","43,482","46,360","43,767","49,445"
ID,Lemhi County,"34,757","36,319","36,797","38,367","37,869","40,087","39,934","41,153"
ID,Lewis County,"37,742","40,149","40,035","41,190","39,918","41,688","41,092","44,674"
ID,Lincoln County,"39,517","40,460","42,224","42,625","44,046","46,168","47,754","49,207"
ID,Madison County,"36,202","33,343","37,565","37,142","36,065","38,065","41,199","40,666"
ID,Minidoka County,"39,802","40,779","42,978","41,968","46,332","45,429","48,903","48,485"
ID,Nez Perce County,"43,580","43,662","45,155","46,753","46,214","50,939","50,030","54,729"
ID,Oneida County,"44,425","43,519","44,628","45,040","46,503","47,037","46,596","60,264"
ID,Owyhee County,"36,670","33,518","38,197","35,017","38,478","39,738","35,866","44,251"
ID,Payette County,"39,724","39,031","41,314","43,642","45,533","44,499","46,595","50,817"
ID,Power County,"39,555","39,288","40,713","44,450","48,048","44,004","45,933","45,922"
ID,Shoshone County,"36,129","36,811","37,294","37,431","36,577","37,497","39,285","46,793"
ID,Teton County,"52,272","51,561","54,231","52,650","57,644","58,013","60,745","63,168"
ID,Twin Falls County,"42,007","41,942","41,499","44,602","44,236","45,799","49,415","50,909"
ID,Valley County,"45,248","46,210","46,314","48,879","49,380","51,774","58,738","56,532"
ID,Washington County,"35,774","35,232","36,767","37,539","35,955","38,592","41,647","41,757"
IL,Illinois,"52,967","53,271","55,126","56,212","57,458","59,590","60,977","63,044"
IL,Adams County,"41,734","43,293","46,038","43,604","46,061","47,264","51,130","49,088"
IL,Alexander County,"29,278","28,499","28,933","30,141","30,699","32,922","33,344","33,985"
IL,Bond County,"46,364","44,945","46,639","48,464","49,886","50,206","53,631","54,831"
IL,Boone County,"57,323","57,708","60,433","59,537","58,792","62,382","62,081","69,413"
IL,Brown County,"43,640","46,160","46,481","46,522","50,225","53,516","51,826","53,875"
IL,Bureau County,"45,580","48,474","48,005","49,062","52,138","51,275","53,410","55,632"
IL,Calhoun County,"45,772","47,218","47,131","48,504","49,689","51,109","50,952","55,138"
IL,Carroll County,"47,032","42,996","47,376","43,643","50,750","50,432","50,330","49,744"
IL,Cass County,"43,183","40,065","44,651","45,257","46,289","46,647","47,511","50,568"
IL,Champaign County,"45,803","42,847","46,708","46,917","47,966","50,813","51,032","51,466"
IL,Christian County,"44,253","46,401","43,393","49,391","46,870","49,041","49,324","52,817"
IL,Clark County,"44,312","48,940","47,404","46,287","50,645","50,700","49,937","55,205"
IL,Clay County,"38,091","38,445","40,573","42,369","45,709","43,577","43,478","45,028"
IL,Clinton County,"52,650","59,711","60,498","61,843","60,556","64,030","61,013","65,586"
IL,Coles County,"38,242","40,623","36,093","39,353","41,319","42,613","42,066","46,012"
IL,Cook County,"51,457","50,806","52,160","53,795","55,058","56,841","60,025","61,401"
IL,Crawford County,"41,612","46,307","44,363","47,517","45,889","49,856","46,374","49,712"
IL,Cumberland County,"43,448","47,145","44,384","47,382","49,567","51,505","49,733","55,622"
IL,DeKalb County,"52,106","52,091","50,502","54,204","56,536","56,874","59,586","60,856"
IL,De Witt County,"48,662","56,147","51,794","53,303","55,193","54,796","54,926","56,091"
IL,Douglas County,"48,469","48,671","52,758","49,179","52,526","53,213","55,891","54,538"
IL,DuPage County,"72,470","74,122","78,131","76,269","80,037","81,616","84,999","89,536"
IL,Edgar County,"39,386","43,596","42,645","44,433","45,485","50,306","47,062","46,916"
IL,Edwards County,"43,044","41,239","43,124","45,675","46,894","48,329","48,884","48,649"
IL,Effingham County,"49,001","48,632","51,319","50,900","52,578","53,077","51,809","60,061"
IL,Fayette County,"38,966","40,247","41,997","43,014","41,268","41,838","46,290","45,193"
IL,Ford County,"48,622","49,206","48,652","52,375","50,877","53,151","51,861","55,356"
IL,Franklin County,"32,853","36,610","38,992","35,681","37,758","43,428","40,246","40,682"
IL,Fulton County,"40,749","46,539","41,899","46,342","44,435","44,649","49,503","49,315"
IL,Gallatin County,"37,287","36,722","38,126","40,349","41,045","40,817","39,634","42,533"
IL,Greene County,"40,399","42,534","41,576","41,588","39,738","43,943","44,378","47,188"
IL,Grundy County,"60,130","63,685","63,167","68,474","70,092","71,928","71,969","76,214"
IL,Hamilton County,"40,670","41,446","42,673","42,330","49,790","45,926","47,855","49,092"
IL,Hancock County,"41,520","43,850","45,183","47,965","48,767","48,213","51,721","52,625"
IL,Hardin County,"34,228","35,596","36,576","36,567","37,331","39,128","39,143","40,160"
IL,Henderson County,"43,212","45,217","47,047","45,022","50,999","47,354","47,792","51,014"
IL,Henry County,"49,262","50,445","53,998","52,117","51,025","58,983","55,287","58,675"
IL,Iroquois County,"43,873","48,577","47,201","46,977","46,895","49,836","47,589","50,131"
IL,Jackson County,"32,739","32,868","31,900","34,243","34,395","36,613","34,982","38,157"
IL,Jasper County,"46,000","46,257","48,726","52,187","52,919","52,608","51,120","55,240"
IL,Jefferson County,"40,527","42,601","40,596","40,663","43,073","46,460","45,746","50,622"
IL,Jersey County,"54,278","55,416","52,049","54,331","52,493","53,864","57,243","58,928"
IL,Jo Daviess County,"45,972","51,293","49,671","49,573","51,282","51,201","54,169","51,866"
IL,Johnson County,"41,743","42,357","43,237","39,965","45,773","46,838","48,359","49,763"
IL,Kane County,"65,430","66,133","64,870","71,444","72,131","70,502","73,684","75,739"
IL,Kankakee County,"45,707","46,046","50,985","49,584","56,326","53,227","54,624","57,706"
IL,Kendall County,"79,542","82,934","84,816","79,648","90,640","88,773","91,952","97,039"
IL,Knox County,"39,409","39,803","40,973","39,494","38,992","43,796","43,277","44,686"
IL,Lake County,"74,594","74,306","74,459","75,106","78,001","82,160","83,344","86,242"
IL,La Salle County,"49,414","48,945","49,431","49,487","51,205","52,316","56,543","56,854"
IL,Lawrence County,"37,428","38,934","39,474","39,670","41,759","43,268","44,774","45,235"
IL,Lee County,"48,749","48,388","50,304","53,126","54,472","52,581","55,563","59,450"
IL,Livingston County,"51,427","53,249","55,150","52,819","53,918","55,474","54,339","55,003"
IL,Logan County,"48,311","46,863","47,111","50,991","54,353","58,191","53,052","56,838"
IL,McDonough County,"37,890","38,916","40,487","41,661","42,684","42,453","44,460","44,524"
IL,McHenry County,"69,290","70,682","76,417","75,713","76,856","80,513","81,570","86,450"
IL,McLean County,"59,719","58,791","62,129","62,261","60,460","65,766","64,271","68,895"
IL,Macon County,"42,206","44,725","44,889","46,179","47,575","48,302","47,786","51,828"
IL,Macoupin County,"45,995","46,525","48,349","50,089","48,544","50,460","52,483","51,756"
IL,Madison County,"51,706","50,462","51,736","53,864","54,375","52,969","56,297","58,077"
IL,Marion County,"38,182","40,056","40,890","40,969","44,289","43,018","45,698","45,126"
IL,Marshall County,"48,647","50,571","53,100","50,899","53,732","53,610","54,807","55,337"
IL,Mason County,"42,529","43,515","45,314","45,563","46,878","43,743","46,962","51,731"
IL,Massac County,"39,636","39,308","40,837","41,373","40,590","41,548","42,833","47,646"
IL,Menard County,"58,075","58,900","62,001","60,151","61,388","64,706","62,966","65,367"
IL,Mercer County,"46,871","52,351","52,503","53,626","54,916","57,934","56,661","52,846"
IL,Monroe County,"69,731","71,766","72,265","71,604","73,684","79,686","83,139","83,767"
IL,Montgomery County,"42,468","49,430","45,365","42,614","45,288","46,006","46,997","51,206"
IL,Morgan County,"43,753","43,210","47,514","48,223","46,406","45,259","48,600","52,357"
IL,Moultrie County,"47,459","49,994","50,859","47,645","52,790","58,975","57,447","60,496"
IL,Ogle County,"53,402","55,009","52,976","51,334","57,126","57,268","58,812","60,656"
IL,Peoria County,"50,166","49,022","47,310","49,827","52,448","53,781","52,380","54,195"
IL,Perry County,"38,916","40,167","40,877","41,931","42,032","46,598","48,423","50,553"
IL,Piatt County,"54,350","61,339","63,656","66,279","65,971","65,122","65,797","67,173"
IL,Pike County,"37,172","38,743","40,087","39,430","39,005","45,106","41,671","43,301"
IL,Pope County,"37,926","37,757","38,588","38,676","40,722","41,150","42,917","43,119"
IL,Pulaski County,"33,262","31,742","32,510","34,828","33,943","35,135","35,875","38,846"
IL,Putnam County,"52,564","51,518","58,776","58,438","62,024","60,590","65,902","64,000"
IL,Randolph County,"46,410","44,708","46,817","44,991","47,862","50,129","50,681","52,749"
IL,Richland County,"40,893","42,369","41,667","41,985","43,396","43,332","46,497","48,489"
IL,Rock Island County,"45,114","44,487","49,875","48,160","48,024","50,419","50,952","51,805"
IL,St. Clair County,"47,027","49,634","46,921","48,343","50,155","50,416","50,598","51,937"
IL,Saline County,"37,170","35,999","38,056","39,281","38,329","40,873","40,690","41,394"
