FIPS,State,Area_Name,POP_ESTIMATE_2014,HH_income_2014,Unemployment_rate_2014
4017.0,AZ,Navajo County,"107,724","35,457",11.1
4019.0,AZ,Pima County,"1,004,675","45,871",6.0
4021.0,AZ,Pinal County,"395,915","49,876",7.0
4023.0,AZ,Santa Cruz County,"46,703","37,465",12.9
4025.0,AZ,Yavapai County,"217,739","44,145",6.4
4027.0,AZ,Yuma County,"204,283","39,700",22.9
5000.0,AR,Arkansas,"2,967,726","41,335",6.0
5001.0,AR,Arkansas County,"18,476","36,409",5.4
5003.0,AR,Ashley County,"20,959","36,176",9.3
5005.0,AR,Baxter County,"40,884","37,873",6.7
5007.0,AR,Benton County,"244,882","57,408",4.6
5009.0,AR,Boone County,"37,102","39,779",6.0
5011.0,AR,Bradley County,"11,016","32,734",8.4
5013.0,AR,Calhoun County,"5,168","39,493",6.6
5015.0,AR,Carroll County,"27,735","36,964",5.2
5017.0,AR,Chicot County,"11,202","29,541",10.5
5019.0,AR,Clark County,"22,565","38,504",6.9
5021.0,AR,Clay County,"15,297","33,826",7.8
5023.0,AR,Cleburne County,"25,605","40,555",8.3
5025.0,AR,Cleveland County,"8,398","43,201",6.8
5027.0,AR,Columbia County,"24,046","37,495",7.1
5029.0,AR,Conway County,"20,991","42,348",7.1
5031.0,AR,Craighead County,"102,661","42,851",5.4
5033.0,AR,Crawford County,"61,817","43,466",6.0
5035.0,AR,Crittenden County,"49,577","35,455",7.4
5037.0,AR,Cross County,"17,183","38,597",6.3
5039.0,AR,Dallas County,"7,692","34,018",9.3
5041.0,AR,Desha County,"12,270","33,028",8.1
5043.0,AR,Drew County,"18,640","36,801",8.4
5045.0,AR,Faulkner County,"120,567","51,436",5.5
5047.0,AR,Franklin County,"17,820","40,404",5.7
5049.0,AR,Fulton County,"12,083","33,347",5.8
5051.0,AR,Garland County,"97,754","40,621",6.3
5053.0,AR,Grant County,"18,073","46,067",5.4
5055.0,AR,Greene County,"43,787","42,572",6.3
5057.0,AR,Hempstead County,"22,338","33,136",6.0
5059.0,AR,Hot Spring County,"33,400","37,831",5.8
5061.0,AR,Howard County,"13,510","37,336",5.8
5063.0,AR,Independence County,"37,079","41,085",7.8
5065.0,AR,Izard County,"13,553","32,744",7.5
5067.0,AR,Jackson County,"17,595","32,427",9.2
5069.0,AR,Jefferson County,"72,469","35,927",8.7
5071.0,AR,Johnson County,"25,971","34,923",6.5
5073.0,AR,Lafayette County,"7,164","32,225",7.8
5075.0,AR,Lawrence County,"16,971","34,916",7.2
5077.0,AR,Lee County,"9,843","28,006",7.5
5079.0,AR,Lincoln County,"14,030","37,644",7.1
5081.0,AR,Little River County,"12,524","37,691",6.5
5083.0,AR,Logan County,"21,859","36,391",6.0
5085.0,AR,Lonoke County,"71,338","54,459",5.1
5087.0,AR,Madison County,"15,733","39,158",4.8
5089.0,AR,Marion County,"16,420","33,181",6.3
5091.0,AR,Miller County,"43,566","40,877",5.8
5093.0,AR,Mississippi County,"44,250","33,577",9.2
5095.0,AR,Monroe County,"7,635","30,682",6.7
5097.0,AR,Montgomery County,"9,158","34,597",8.0
5099.0,AR,Nevada County,"8,651","30,935",6.1
5101.0,AR,Newton County,"7,879","35,895",5.8
5103.0,AR,Ouachita County,"24,763","34,971",8.0
5105.0,AR,Perry County,"10,353","40,556",7.7
5107.0,AR,Phillips County,"19,960","28,171",9.6
5109.0,AR,Pike County,"10,987","36,893",7.3
5111.0,AR,Poinsett County,"24,152","35,851",6.9
5113.0,AR,Polk County,"20,255","33,127",6.2
5115.0,AR,Pope County,"63,111","39,909",6.3
5117.0,AR,Prairie County,"8,345","39,896",5.8
5119.0,AR,Pulaski County,"392,990","45,698",5.5
5121.0,AR,Randolph County,"17,568","37,761",7.9
5123.0,AR,St. Francis County,"27,096","30,489",8.7
5125.0,AR,Saline County,"114,861","55,915",4.8
5127.0,AR,Scott County,"10,665","33,202",5.0
5129.0,AR,Searcy County,"7,917","31,765",6.3
5131.0,AR,Sebastian County,"126,784","39,907",5.7
5133.0,AR,Sevier County,"17,429","37,014",7.0
5135.0,AR,Sharp County,"16,822","32,101",8.4
5137.0,AR,Stone County,"12,379","30,010",7.6
5139.0,AR,Union County,"40,140","40,841",7.4
5141.0,AR,Van Buren County,"16,880","32,975",8.1
5143.0,AR,Washington County,"219,976","45,589",4.4
5145.0,AR,White County,"78,459","42,044",7.0
5147.0,AR,Woodruff County,"6,874","29,969",7.6
5149.0,AR,Yell County,"21,774","37,080",5.6
6000.0,CA,California,"38,625,139","61,927",7.5
6001.0,CA,Alameda County,"1,608,674","76,996",5.8
6003.0,CA,Alpine County,"1,082","53,003",8.2
6005.0,CA,Amador County,"36,738","54,610",8.3
6007.0,CA,Butte County,"223,570","42,302",8.6
6009.0,CA,Calaveras County,"44,673","53,321",8.0
6011.0,CA,Colusa County,"21,198","48,006",17.4
6013.0,CA,Contra Costa County,"1,109,358","80,338",6.2
6015.0,CA,Del Norte County,"27,198","41,419",10.1
6017.0,CA,El Dorado County,"183,161","70,235",7.0
6019.0,CA,Fresno County,"961,311","43,338",11.6
6021.0,CA,Glenn County,"27,857","43,755",10.7
6023.0,CA,Humboldt County,"134,514","40,581",6.7
6025.0,CA,Imperial County,"178,233","38,737",24.0
6027.0,CA,Inyo County,"18,320","49,267",6.8
6029.0,CA,Kern County,"869,957","47,451",10.4
6031.0,CA,Kings County,"149,603","44,490",11.9
6033.0,CA,Lake County,"64,058","36,333",8.9
6035.0,CA,Lassen County,"31,710","49,995",9.1
6037.0,CA,Los Angeles County,"10,048,408","55,686",8.3
6039.0,CA,Madera County,"153,590","43,171",11.2
6041.0,CA,Marin County,"260,435","94,549",4.3
6043.0,CA,Mariposa County,"17,713","47,781",8.8
6045.0,CA,Mendocino County,"87,257","42,840",7.0
6047.0,CA,Merced County,"264,649","43,818",12.8
6049.0,CA,Modoc County,"9,080","39,172",10.2
6051.0,CA,Mono County,"14,142","59,181",7.1
6053.0,CA,Monterey County,"428,980","57,428",9.0
6055.0,CA,Napa County,"140,567","71,063",5.7
6057.0,CA,Nevada County,"98,589","57,118",6.5
6059.0,CA,Orange County,"3,130,322","76,061",5.5
6061.0,CA,Placer County,"369,326","75,689",6.3
6063.0,CA,Plumas County,"18,662","47,964",11.5
6065.0,CA,Riverside County,"2,317,955","56,877",8.2
6067.0,CA,Sacramento County,"1,475,618","55,803",7.3
6069.0,CA,San Benito County,"57,867","68,166",9.3
6071.0,CA,San Bernardino County,"2,100,776","51,951",8.0
6073.0,CA,San Diego County,"3,250,993","66,034",6.4
6075.0,CA,San Francisco County,"851,116","83,788",4.4
6077.0,CA,San Joaquin County,"711,771","51,527",10.5
6079.0,CA,San Luis Obispo County,"278,296","61,775",5.6
6081.0,CA,San Mateo County,"757,670","100,806",4.2
6083.0,CA,Santa Barbara County,"439,358","62,116",6.1
6085.0,CA,Santa Clara County,"1,892,984","97,219",5.2
6087.0,CA,Santa Cruz County,"271,035","64,257",8.7
6089.0,CA,Shasta County,"178,905","43,661",9.6
6091.0,CA,Sierra County,"2,980","47,293",10.1
6093.0,CA,Siskiyou County,"43,379","38,641",11.1
6095.0,CA,Solano County,"429,155","67,106",7.5
6097.0,CA,Sonoma County,"498,803","66,949",5.6
6099.0,CA,Stanislaus County,"528,346","50,917",11.2
6101.0,CA,Sutter County,"94,830","51,827",12.6
6103.0,CA,Tehama County,"62,788","40,782",9.6
6105.0,CA,Trinity County,"13,123","34,961",9.4
6107.0,CA,Tulare County,"455,602","42,360",13.1
6109.0,CA,Tuolumne County,"53,828","49,476",8.6
6111.0,CA,Ventura County,"842,946","74,967",6.6
6113.0,CA,Yolo County,"208,518","54,509",7.5
6115.0,CA,Yuba County,"73,562","41,403",11.2
8000.0,CO,Colorado,"5,351,218","61,324",5.0
8001.0,CO,Adams County,"480,263","59,316",5.7
8003.0,CO,Alamosa County,"16,220","38,140",7.2
8005.0,CO,Arapahoe County,"618,798","65,359",4.9
8007.0,CO,Archuleta County,"12,233","44,508",6.0
8009.0,CO,Baca County,"3,587","36,294",2.8
8011.0,CO,Bent County,"5,784","35,424",5.3
8013.0,CO,Boulder County,"313,298","71,546",4.1
8014.0,CO,Broomfield County,"61,769","85,885",4.2
8015.0,CO,Chaffee County,"18,453","48,840",4.4
8017.0,CO,Cheyenne County,"1,846","52,273",2.9
8019.0,CO,Clear Creek County,"9,114","69,115",4.6
8021.0,CO,Conejos County,"8,233","33,998",7.8
8023.0,CO,Costilla County,"3,564","27,882",9.1
8025.0,CO,Crowley County,"5,609","32,570",5.9
8027.0,CO,Custer County,"4,344","48,368",4.6
8029.0,CO,Delta County,"29,965","45,283",7.0
8031.0,CO,Denver County,"664,870","54,872",4.8
8033.0,CO,Dolores County,"1,977","44,235",3.9
8035.0,CO,Douglas County,"314,574","107,250",4.0
8037.0,CO,Eagle County,"53,323","76,661",4.2
8039.0,CO,Elbert County,"24,033","83,603",4.3
8041.0,CO,El Paso County,"663,266","59,286",6.0
8043.0,CO,Fremont County,"46,133","41,385",8.2
8045.0,CO,Garfield County,"57,201","62,529",5.3
8047.0,CO,Gilpin County,"5,751","64,752",4.4
8049.0,CO,Grand County,"14,559","59,379",4.0
8051.0,CO,Gunnison County,"15,842","48,940",4.0
8053.0,CO,Hinsdale County,773,"51,241",3.7
8055.0,CO,Huerfano County,"6,396","32,750",10.0
8057.0,CO,Jackson County,"1,385","45,073",3.6
8059.0,CO,Jefferson County,"559,085","70,687",4.5
8061.0,CO,Kiowa County,"1,380","42,310",3.3
8063.0,CO,Kit Carson County,"8,020","46,394",3.0
8065.0,CO,Lake County,"7,320","46,765",4.6
8067.0,CO,La Plata County,"53,788","60,658",4.2
8069.0,CO,Larimer County,"324,061","57,659",4.3
8071.0,CO,Las Animas County,"14,044","39,625",7.5
8073.0,CO,Lincoln County,"5,504","41,248",4.1
8075.0,CO,Logan County,"21,748","45,439",3.8
8077.0,CO,Mesa County,"147,312","50,106",6.2
8079.0,CO,Mineral County,703,"51,257",5.0
8081.0,CO,Moffat County,"12,934","56,193",5.8
8083.0,CO,Montezuma County,"25,516","44,163",6.1
8085.0,CO,Montrose County,"40,596","46,336",6.8
8087.0,CO,Morgan County,"28,120","47,631",4.6
8089.0,CO,Otero County,"18,367","33,043",7.6
8091.0,CO,Ouray County,"4,574","57,242",5.8
8093.0,CO,Park County,"16,384","58,487",4.6
8095.0,CO,Phillips County,"4,395","47,006",3.3
