"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Deaths","Population","Crude Rate","Age-Adjusted Rate"
"Both Sexes","All Races","United States","Both","All Ages","2015","2017","All Injury","689038","970164952","71.02","67.9589029274361"
"Both Sexes","All Races","United States","Both","All Ages","2015","2017","All Injury","689038","970164952","71.02","."
